"","longitude","latitude","temp","data_type"
"169",-5.5,39,14.47,"Test"
"170",-5,39,13.73,"Test"
"171",-4.5,39,13.27,"Train"
"172",-4,39,13.3,"Train"
"173",-3.5,39,13.1,"Test"
"174",-3,39,12.5,"Test"
"175",-2.5,39,11.67,"Test"
"176",-2,39,12.73,"Train"
"177",-1.5,39,12.4,"Train"
"178",-1,39,13.53,"Train"
"179",-0.5,39,14.43,"Train"
"180",-7.5,38.5,15.3,"Train"
"181",-7,38.5,14.17,"Train"
"182",-6.5,38.5,13.83,"Test"
"183",-6,38.5,14.47,"Train"
"184",-5.5,38.5,14.03,"Test"
"185",-5,38.5,14,"Test"
"186",-4.5,38.5,14,"Train"
"187",-4,38.5,14.1,"Test"
"188",-3.5,38.5,14.07,"Test"
"189",-3,38.5,12.23,"Train"
"190",-2.5,38.5,11.6,"Train"
"191",-2,38.5,14.03,"Test"
"192",-1.5,38.5,14.37,"Test"
"193",-1,38.5,16.13,"Train"
"194",-0.5,38.5,15.9,"Test"
"195",-7.5,38,15.23,"Train"
"196",-7,38,15.07,"Test"
"197",-6.5,38,14.93,"Train"
"198",-6,38,15.7,"Test"
"199",-5.5,38,15.83,"Train"
"200",-5,38,15.73,"Train"
"201",-4.5,38,15.37,"Train"
"202",-4,38,13.93,"Train"
"203",-3.5,38,13.63,"Train"
"204",-3,38,12.13,"Train"
"205",-2.5,38,11.53,"Test"
"206",-2,38,13.73,"Train"
"207",-7.5,37.5,16.27,"Train"
"208",-7,37.5,16.6,"Test"
"209",-6.5,37.5,16.6,"Train"
"210",-6,37.5,16.37,"Test"
"211",-5.5,37.5,15.67,"Train"
"212",-5,37.5,15.03,"Train"
"213",-4.5,37.5,13.7,"Train"
"214",-4,37.5,13.4,"Train"
"215",-3.5,37.5,10.03,"Train"
"216",-3,37.5,10.43,"Test"
"217",-2.5,37.5,13.33,"Train"
"218",-2,37.5,15.7,"Test"
"219",-6.5,37,16.73,"Train"
"220",-6,37,15.87,"Train"
"221",-5.5,37,14.07,"Test"
"222",-5,37,15.17,"Train"
"223",-4.5,37,15.1,"Train"
"224",-4,37,14.6,"Test"
"225",-3.5,37,13.83,"Test"
"226",-3,37,15,"Test"
"227",-2.5,37,16.23,"Train"
"228",-2,37,16.43,"Train"
"229",-6.5,36.5,16.3,"Train"
"230",-6,36.5,15.7,"Train"
"231",-5.5,36.5,16.03,"Train"
"232",-6,36,15.2,"Test"
"233",-5.5,36,15.67,"Train"
