"","latitude","longitude","temp","temp_sqrt","temp_quad","temp_opti","temp_log"
"192",38.5,-1.5,14.37,5.58155656840995,102.74845,21.5826213195956,2.66514270009093
"165",39,-7.5,15.27,5.81536947303197,116.08645,23.348423482113,2.72589011923054
"57",42.5,3,13.77,5.42159012611179,94.30645,20.4205879384973,2.62249231274056
"148",40,-1,12.9,5.18331399842719,82.705,18.7581208297997,2.55722731136763
"163",39.5,-1,14.23,5.54453444554401,100.74645,21.3103751865271,2.65535241210176
"217",37.5,-2.5,13.33,5.30205450541147,88.34445,19.5764101474748,2.59001713419062
"161",39.5,-2,12.8,5.15541752799933,81.42,18.568788152385,2.54944517092557
"66",42,-5,11,4.6332495807108,60,15.2262105241733,2.39789527279837
"4",43.5,-8,10.23,4.39687423668779,51.82645,13.8364087377161,2.32532457996354
"74",42,-1,13.8,5.42967024840268,94.72,20.4783939401887,2.62466859216316
"133",40.5,-1,8.43,3.80689245638319,35.03245,10.6914400382006,2.13179677201376
"117",41,-0.5,10.6,4.51152823843988,55.68,14.5010882004763,2.36085400111802
"25",43,-5.5,8.77,3.92283715798434,37.95645,11.2736749275217,2.17133680638409
"136",40,-7,14.83,5.70194780558788,109.46445,22.4817931181624,2.69665215614984
"55",42.5,2,7.03,3.30282943342514,24.21045,8.3576521558113,1.95018670582257
"228",37,-2,16.43,6.1067872798045,134.47245,25.662869876523,2.79910893204918
"85",41.5,-6.5,12,4.92820323027551,71.5,17.0676132947603,2.484906649788
"45",42.5,-3,8.27,3.75152153781936,33.69645,10.4194579175135,2.1126345090356
"146",40,-2,11.23,4.70223843204642,62.55645,15.6461664849346,2.41858876875035
"170",39,-5,13.73,5.41080292545956,93.75645,20.343562241453,2.61958321977988
"159",39.5,-3,13.3,5.29383301152419,87.945,19.519103298392,2.58776403522771
"134",40.5,-0.5,10.93,4.61211010192662,59.23245,15.0988308713883,2.39151130218845
"199",38,-5.5,15.83,5.9573865056311,124.79445,24.4604527675713,2.76190687389292
"189",38.5,-3,12.23,4.99428338001828,74.28645,17.496712260479,2.50389194969908
"105",41,-6.5,12.07,4.94838110641608,72.34245,17.1979928360925,2.49072303510944
"176",39,-2,12.73,5.13582510996451,80.52645,18.4364749615937,2.54396141256932
"145",40,-2.5,11.87,4.89057327078089,69.94845,16.8259845734723,2.47401420862158
"173",39,-3.5,13.1,5.23878442834154,85.305,19.1378859119833,2.57261223020711
"191",38.5,-2,14.03,5.49132832013122,97.92045,20.9226135350615,2.64119789411437
"53",42.5,1,8.37,3.78619045659577,34.52845,10.5892941477327,2.12465388450138
"104",41,-7,12.2,4.98569967862919,73.92,17.4406275345311,2.50143595173921
"204",38,-3,12.13,4.9656299069072,73.06845,17.309897325382,2.49568172295596
"63",42,-6.5,11.93,4.90796641566822,70.66245,16.9374237526273,2.47905623610982
"211",37.5,-5.5,15.67,5.91707016515579,122.27445,24.1417104162602,2.75174805636793
"93",41.5,-2.5,10.03,4.33403504884525,49.80045,13.4796036532713,2.30558060197384
"207",37.5,-7.5,16.27,6.06721761203948,131.85645,25.3411342922318,2.78932292123095
"2",43.5,-9,12.87,5.17495644586084,82.31845,18.7012823646234,2.55489902160804
"177",39,-1.5,12.4,5.0427267446636,76.38,17.8151737183146,2.51769647261099
"130",40.5,-2.5,10.83,4.58179306876173,58.14445,14.9172136875484,2.3823200610129
"141",40,-4.5,13.47,5.34029972140103,90.22045,19.8442676806575,2.60046499042227
"24",43,-6,8.37,3.78619045659577,34.52845,10.5892941477327,2.12465388450138
"196",38,-7,15.07,5.76401957751267,113.05245,22.9537155981901,2.7127060126384
"195",38,-7.5,15.23,5.80512652043514,115.47645,23.2693779315168,2.72326716690707
"232",36,-6,15.2,5.79743547584717,115.02,23.2101278120029,2.72129542785223
"76",42,0,14.43,5.59736796528903,103.61245,21.6995017533136,2.66930937278578
"121",40.5,-7,12.9,5.18331399842719,82.705,18.7581208297997,2.55722731136763
"13",43.5,-3.5,11.53,4.79117073853986,65.97045,16.1971701177357,2.44495233428097
"214",37.5,-4,13.4,5.32120208708925,89.28,19.7102514602449,2.59525470695687
"106",41,-6,11.3,4.72309452558864,63.345,15.7744086106012,2.42480272571829
"166",39,-7,15.33,5.83070878018076,117.00445,23.4670888680163,2.72981169288372
"112",41,-3,11.33,4.73201307188273,63.68445,15.8294304202948,2.42745407503992
"64",42,-6,11.37,4.74388612003495,64.13845,15.9028494963095,2.43097830776244
"80",42,2,11.73,4.84981751581748,68.29645,16.5665080563445,2.46214966266538
"36",42.5,-7.5,9.2,4.06630035524124,41.82,12.0181329319694,2.21920348405499
"35",42.5,-8,11.13,4.67233092704491,61.43845,15.4633100789865,2.40964416528745
"87",41.5,-5.5,11.57,4.80294054067798,66.43245,16.2709105105386,2.44841554120559
"67",42,-4.5,10.67,4.53299318842443,56.42445,14.6274984435934,2.36743606531366
"48",42.5,-1.5,13.17,5.25809892464962,86.22445,19.2711476468819,2.57794151575519
"111",41,-3.5,12.37,5.03420215802759,76.00845,17.7588948653281,2.5152741864044
"23",43,-6.5,7.23,3.3777318638995,25.63645,8.68446544532154,1.97823903617067
"137",40,-6.5,14.7,5.66811580507233,107.545,22.2269625913142,2.68784749378469
"61",42,-7.5,11.37,4.74388612003495,64.13845,15.9028494963095,2.43097830776244
"39",42.5,-6,11.57,4.80294054067798,66.43245,16.2709105105386,2.44841554120559
"31",43,-2.5,9.33,4.10900973972051,43.02445,12.2449386713095,2.23323501485925
"73",42,-1.5,13.73,5.41080292545956,93.75645,20.343562241453,2.61958321977988
"180",38.5,-7.5,15.3,5.82304288624318,116.545,23.4077416327301,2.72785282839839
"22",43,-7,8.7,3.89915248150105,37.345,11.1533339459726,2.16332302566054
"122",40.5,-6.5,12.57,5.09083916049434,78.50245,18.1347285797921,2.53131302260216
"41",42.5,-5,10.6,4.51152823843988,55.68,14.5010882004763,2.36085400111802
"92",41.5,-3,10.4,4.44980619863884,53.58,14.1410686465972,2.34180580614733
"200",38,-5,15.73,5.93221280602078,123.21645,24.2611439037302,2.75556971707019
"125",40.5,-5,10.67,4.53299318842443,56.42445,14.6274984435934,2.36743606531366
"43",42.5,-4,10.37,4.44049687524185,53.26845,14.0872140407607,2.33891702224144
"171",39,-4.5,13.27,5.28560224003479,87.54645,19.4618287561156,2.58550584834412
"107",41,-5.5,10.47,4.47147587494537,54.31045,14.2668803379046,2.34851402488245
"33",42.5,-9,13.4,5.32120208708925,89.28,19.7102514602449,2.59525470695687
"83",41.5,-7.5,11.5,4.78232998312527,65.625,16.141906766532,2.4423470353692
"140",40,-5,13.2,5.26636084983398,86.62,19.3283141030744,2.58021682959233
"98",41.5,0,14.5,5.61577310586391,104.625,21.8360158721124,2.67414864942653
"21",43,-7.5,10.2,4.38748776906852,51.52,13.7827758948029,2.32238772029023
"210",37.5,-6,16.37,6.09197132965756,133.48845,25.54212681959,2.79545039138304
"94",41.5,-2,10.1,4.35609943282828,50.505,13.6042849529472,2.31253542384721
"179",39,-0.5,14.43,5.59736796528903,103.61245,21.6995017533136,2.66930937278578
"30",43,-3,9.97,4.31506136153878,49.20045,13.3729069186775,2.29958058397375
"118",41,0,13.57,5.36749618255755,91.57245,20.0360214842465,2.60786147384678
"233",36,-5.5,15.67,5.91707016515579,122.27445,24.1417104162602,2.75174805636793
"115",41,-1.5,9.57,4.18708331930321,45.29245,12.6657302166951,2.25863320546486
"188",38.5,-3.5,14.07,5.50199973340442,98.48245,21.0000559780818,2.6440448711263
"82",42,3,14.2,5.53657747256671,100.32,21.2521235735217,2.65324196460721
"96",41.5,-1,12.7,5.12741187248218,80.145,18.3798249077526,2.54160199346455
"102",41.5,2,14.17,5.52861208988748,99.89445,21.1939027191098,2.65112705370259
"144",40,-3,12.53,5.07954800817114,78.00045,18.0594414243992,2.52812576890798
"26",43,-5,8.2,3.72712842531054,33.12,10.300877303246,2.10413415427021
"152",39.5,-6.5,14.53,5.62364742101837,105.06045,21.8945724246698,2.67621547758219
"220",37,-6,15.87,5.96743371481684,125.42845,24.5402646007922,2.76443053453832
"81",42,2.5,13.17,5.25809892464962,86.22445,19.2711476468819,2.57794151575519
"198",38,-6,15.7,5.92464510246358,122.745,24.2014128964345,2.75366071235426
"185",38.5,-5,14,5.48331477354788,97.5,20.8645679069979,2.63905732961526
"119",41,0.5,15.3,5.82304288624318,116.545,23.4077416327301,2.72785282839839
"11",43.5,-4.5,10.63,4.52073615476044,55.99845,14.5552385453913,2.36368019235386
"113",41,-2.5,9.93,4.30238050263549,48.80245,13.3018648324178,2.29556047805708
"108",41,-5,10.33,4.42806347199528,52.85445,14.0154684810361,2.33505228313155
"205",38,-2.5,11.53,4.79117073853986,65.97045,16.1971701177357,2.44495233428097
"186",38.5,-4.5,14,5.48331477354788,97.5,20.8645679069979,2.63905732961526
"147",40,-1.5,11.2,4.6932802122726,62.22,15.5912666485782,2.41591377830105
"167",39,-6.5,15.1,5.77174369109018,113.505,23.0128387489134,2.71469474382088
"156",39.5,-4.5,12.57,5.09083916049434,78.50245,18.1347285797921,2.53131302260216
